gene,n_agents,max_clinical_phase,any_indication_positive,ccrcc_direct_positive,ccrcc_interventional,agent_modality,agents,ccrcc_agents,example_ncts
TNFAIP6,0,0,False,False,False,,,,
CD70,4,2,True,True,True,,CUSATUZUMAB; MDX-1411; VORSETUZUMAB; VORSETUZUMAB MAFODOTIN,MDX-1411,NCT00656734
TYROBP,0,0,False,False,False,,,,
CA9,4,3,True,True,True,,ETHOXZOLAMIDE; GIRENTUXIMAB; IODINE I 124 GIRENTUXIMAB; SULTHIAME,GIRENTUXIMAB; IODINE I 124 GIRENTUXIMAB,NCT00087022;NCT00717587;NCT01762592;NCT02002312;NCT02411968
FCER1G,0,0,False,False,False,,,,
HILPDA,0,0,False,False,False,,,,
COL23A1,0,0,False,False,False,,,,
SLC16A3,0,0,False,False,False,,,,
ENPP3,1,2,True,True,True,,AGS-16C3F,AGS-16C3F,NCT01672775;NCT02639182
LAIR1,0,0,False,False,False,,,,
NPTX2,0,0,False,False,False,,,,
ANGPTL4,0,0,False,False,False,,,,
CD48,0,0,False,False,False,,,,
ADM,1,2,True,False,False,,ENIBARCIMAB,,
LPCAT1,0,0,False,False,False,,,,
FCGR3A,2,3,True,True,True,,BEMARITUZUMAB; IMGATUZUMAB,BEMARITUZUMAB,NCT07470840
CYBB,0,0,False,False,False,,,,
LOX,0,0,False,False,False,,,,
VWF,4,2,True,False,False,,CAPLACIZUMAB; EGAPTIVON PEGOL; VON WILLEBRAND FACTOR HUMAN; VONICOG ALFA,,
SCARB1,0,0,False,False,False,,,,
BTN3A2,0,0,False,False,False,,,,
PRF1,0,0,False,False,False,,,,
VCAM1,0,0,False,False,False,,,,
NCKAP1L,0,0,False,False,False,,,,
CD53,0,0,False,False,False,,,,
CD2,2,2,True,False,False,,ALEFACEPT; SIPLIZUMAB,,
CTHRC1,0,0,False,False,False,,,,
CD36,0,0,False,False,False,,,,
SLC2A1,0,0,False,False,False,,,,
ITGB2,3,0,False,False,False,,EFALIZUMAB; LIFITEGRAST; ROVELIZUMAB,,
RHBDL2,0,0,False,False,False,,,,
POSTN,0,0,False,False,False,,,,
FLT1,48,3,True,True,True,,4SC-203; AEE-788; AGN-211745; AXITINIB; BMS-690514; BRIVANIB; BRIVANIB ALANINATE; CEDIRANIB; CEP-11981; CEP-5214; DOVITINIB; FAMITINIB; FORETINIB; FRUQUINTINIB; GLESATINIB; IBCASERTIB; ICRUCUMAB; ILORASERTIB; KRN-633; LENVATINIB; LENVATINIB MESYLATE; LINIFANIB; LUCITANIB; MOTESANIB; NINTEDANIB; NINT,AXITINIB; BRIVANIB; BRIVANIB ALANINATE; CEDIRANIB; DOVITINIB; FAMITINIB; FORETINIB; FRUQUINTINIB; ICRUCUMAB; LENVATINIB; LENVATINIB MESYLATE; LINIFANIB; NINTEDANIB; NINTEDANIB ESYLATE; OSI-930; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; SEMAXANIB; SORAFENIB; SORAFENIB TOSYLATE; SUNITINIB; SUNI,NCT00006384;NCT00009919;NCT00054886;NCT00098618;NCT00101114
ANGPT2,8,3,True,True,True,,AMG-780; CVX-060; FARICIMAB; MEDI-3617; NESVACUMAB; TREBANANIB; VANUCIZUMAB; ZANSECIMAB,CVX-060; TREBANANIB,NCT00467025;NCT00853372;NCT00953446;NCT00982657;NCT01441414
MSR1,0,0,False,False,False,,,,
HAVCR1,0,0,False,False,False,,,,
CD163,0,0,False,False,False,,,,
LOXL2,2,2,True,False,False,,LENUMLOSTAT; SIMTUZUMAB,,
IGFBP3,0,0,False,False,False,,,,
ESM1,0,0,False,False,False,,,,
CD68,0,0,False,False,False,,,,
CD300A,0,0,False,False,False,,,,
ITGAL,4,0,False,False,False,,EFALIZUMAB; LIFITEGRAST; ODULIMOMAB; ROVELIZUMAB,,
IL4I1,0,0,False,False,False,,,,
ITGAX,0,0,False,False,False,,,,
GPNMB,1,0,False,False,False,,GLEMBATUMUMAB VEDOTIN,,
SLC2A3,0,0,False,False,False,,,,
SPARC,0,0,False,False,False,,,,
EMILIN2,0,0,False,False,False,,,,
C5AR1,2,2,True,False,False,,AVACOPAN; AVDORALIMAB,,
CXCR4,8,3,True,True,True,,BALIXAFORTIDE; BURIXAFOR; CTCE-9908; MAVORIXAFOR; MOTIXAFORTIDE; MSX-122; PLERIXAFOR; ULOCUPLUMAB,MAVORIXAFOR,NCT02667886;NCT02923531
HAPLN1,0,0,False,False,False,,,,
PTPRC,2,2,True,False,False,,AHN-12; BC8 131I,,
HAVCR2,3,3,True,True,True,,COBOLIMAB; LOMVASTOMIG; SABATOLIMAB,SABATOLIMAB,NCT02608268
CSPG4,0,0,False,False,False,,,,
FCGR1A,1,1,True,False,False,,MDX-447,,
PECAM1,0,0,False,False,False,,,,
PGF,3,3,True,True,True,,AFLIBERCEPT; CONBERCEPT; TB-403,AFLIBERCEPT,NCT00357760;NCT00407485;NCT02298959;NCT06047379
HVCN1,0,0,False,False,False,,,,
GZMA,0,0,False,False,False,,,,
