symbol,grade_rho,grade_p,stage_rho,stage_p,grade_fdr,grade_sig,stage_fdr,stage_sig,composite_0_100,retained_top12
TNFAIP6,-0.1278,0.2326,0.0667,0.5349,0.3614,False,0.73,False,84.6,False
CD70,0.0639,0.5073,0.0248,0.7969,0.6403,False,0.8845,False,84.5,True
TYROBP,0.3345,0.0004,0.1345,0.1613,0.0033,True,0.4287,False,82.6,False
CA9,-0.1648,0.0854,-0.1364,0.1554,0.1725,False,0.4287,False,79.5,True
FCER1G,0.316,0.0008,0.1905,0.0462,0.0049,True,0.2123,False,77.9,False
HILPDA,0.0658,0.6145,0.0072,0.9562,0.7302,False,0.9657,False,76.6,True
COL23A1,-0.1612,0.109,-0.1157,0.2518,0.2118,False,0.4624,False,76.2,True
SLC16A3,0.2626,0.0056,0.2123,0.026,0.0201,True,0.1628,False,76.0,True
ENPP3,-0.0564,0.5584,-0.0803,0.4041,0.6794,False,0.6185,False,75.1,False
LAIR1,0.3132,0.0025,0.0815,0.4422,0.0121,True,0.6381,False,74.8,False
NPTX2,0.1226,0.4222,0.0132,0.9314,0.5611,False,0.9547,False,74.2,True
ANGPTL4,0.2085,0.0288,0.2177,0.0223,0.0694,False,0.1628,False,73.3,False
CD48,0.3327,0.0011,0.0587,0.5763,0.0062,True,0.756,False,72.7,False
ADM,-0.3826,0.177,-0.5867,0.0274,0.3053,False,0.1628,False,71.9,False
LPCAT1,0.3203,0.0006,0.2397,0.0117,0.0043,True,0.1085,False,71.7,False
FCGR3A,0.2679,0.0047,0.142,0.139,0.0174,True,0.413,False,71.6,False
CYBB,0.2754,0.0036,0.1055,0.2725,0.0145,True,0.4914,False,71.5,False
LOX,0.202,0.0343,0.1286,0.1805,0.0805,False,0.4393,False,71.4,False
VWF,-0.2085,0.0288,-0.0295,0.7598,0.0694,False,0.8845,False,71.3,False
SCARB1,0.0164,0.865,0.0078,0.9358,0.8824,False,0.9547,False,70.3,True
BTN3A2,0.2204,0.0239,0.1194,0.2252,0.0603,False,0.4624,False,69.8,False
PRF1,-0.1871,0.0504,-0.1597,0.0956,0.113,False,0.3447,False,69.7,False
VCAM1,0.0669,0.4875,0.0887,0.3568,0.6286,False,0.5908,False,69.6,False
NCKAP1L,0.3376,0.0003,0.2393,0.0118,0.0031,True,0.1085,False,68.3,False
CD53,0.2803,0.0103,0.156,0.1589,0.0315,True,0.4287,False,67.8,False
CD2,0.1325,0.1677,0.0279,0.7726,0.2971,False,0.8845,False,67.8,False
CTHRC1,0.1284,0.1814,-0.0557,0.5632,0.3053,False,0.756,False,67.7,False
CD36,-0.324,0.0006,-0.2471,0.0093,0.0043,True,0.1085,False,67.6,False
