group,gene,immune_rho
immune_filtered,PTPRC,0.866
immune_filtered,CD4,0.83
immune_filtered,FCER1G,0.803
immune_filtered,NCKAP1L,0.796
immune_filtered,ITGAL,0.789
immune_filtered,LAIR1,0.788
immune_filtered,FCGR1A,0.772
immune_filtered,CYBB,0.751
immune_filtered,CD48,0.739
immune_filtered,MSR1,0.736
immune_filtered,CD2,0.713
immune_filtered,LILRB2,0.689
immune_filtered,CD163,0.685
immune_filtered,TYROBP,0.677
immune_filtered,FCGR3A,0.669
immune_filtered,LILRB4,0.659
immune_filtered,ITGAM,0.639
immune_filtered,TRPV2,0.616
immune_filtered,LY86,0.61
immune_filtered,ITGAX,0.598
immune_filtered,ITGB2,0.597
immune_filtered,CD68,0.549
immune_filtered,GZMK,0.545
immune_filtered,C5AR1,0.539
immune_filtered,CD180,0.527
immune_filtered,CD300A,0.522
immune_filtered,GZMA,0.519
immune_filtered,ADGRE2,0.504
immune_filtered,IL4I1,0.492
immune_filtered,CD53,0.483
immune_filtered,HVCN1,0.442
immune_filtered,EMILIN2,0.411
immune_filtered,ICAM1,0.409
surface_candidate,BTN3A2,0.39
surface_candidate,CTHRC1,0.356
surface_candidate,SERPINE1,0.353
surface_candidate,MMP14,0.331
surface_candidate,GPNMB,0.306
surface_candidate,HAPLN3,0.305
surface_candidate,TGFB3,0.304
surface_candidate,POSTN,0.298
surface_candidate,P2RX7,0.29
surface_candidate,NEFL,0.29
surface_candidate,RHBDL2,0.284
surface_candidate,LILRB1,0.278
surface_candidate,NPTX2,0.27
tumour_intrinsic_control,NNMT,0.27
surface_candidate,BTN3A1,0.269
surface_candidate,LOX,0.244
surface_candidate,VCAM1,0.235
surface_candidate,NCEH1,0.227
surface_candidate,ITGA5,0.206
surface_candidate,KEL,0.197
surface_candidate,LOXL3,0.177
surface_candidate,COL8A1,0.176
surface_candidate,LPCAT1,0.162
surface_candidate,HAVCR2,0.151
surface_candidate,IGFLR1,0.15
surface_candidate,SLC16A3,0.137
surface_candidate,SLC1A4,0.136
surface_candidate,PLOD3,0.13
surface_candidate,IGFBP3,0.119
surface_candidate,CD70,0.118
surface_candidate,SLC2A1,0.116
surface_candidate,LOXL2,0.11
surface_candidate,IL32,0.109
surface_candidate,HAVCR1,0.088
surface_candidate,COL5A2,0.076
surface_candidate,COL3A1,0.062
surface_candidate,MET,0.047
surface_candidate,SLC2A3,0.04
surface_candidate,PRF1,0.035
surface_candidate,ANGPT2,0.012
surface_candidate,VIM,0.011
surface_candidate,HAPLN1,0.009
surface_candidate,ANGPTL4,-0.037
surface_candidate,ESM1,-0.053
surface_candidate,COL23A1,-0.066
surface_candidate,TNFAIP6,-0.074
surface_candidate,ERO1A,-0.077
surface_candidate,COL5A1,-0.082
surface_candidate,SPARC,-0.082
surface_candidate,FLT1,-0.084
surface_candidate,HILPDA,-0.102
surface_candidate,ADM,-0.103
surface_candidate,VWF,-0.111
surface_candidate,PECAM1,-0.132
surface_candidate,PGF,-0.157
surface_candidate,CDH4,-0.166
surface_candidate,COL5A3,-0.17
surface_candidate,ADAMTS7,-0.172
surface_candidate,SORCS3,-0.178
surface_candidate,CA9,-0.196
surface_candidate,CD36,-0.196
tumour_intrinsic_control,ENO2,-0.197
surface_candidate,SCARB1,-0.204
surface_candidate,CSPG4,-0.207
surface_candidate,ECSCR,-0.22
surface_candidate,CXCR4,-0.231
surface_candidate,EGFR,-0.252
surface_candidate,CDH13,-0.28
surface_candidate,ENPP3,-0.281
surface_candidate,OLFML2A,-0.331
tumour_intrinsic_control,VEGFA,-0.477
