rank,gene,prot_log2fc,prot_fdr,rna_log2fc,rna_fdr,uniprot,locations,surface_secreted,loc_reason,immune_rho,immune_infiltration_flag,assoc_expr,tractability,safety,selectivity,composite_0_100,retained_top12,n_agents,max_clinical_phase,any_indication_positive,ccrcc_direct_positive,ccrcc_interventional,agent_modality,agents,ccrcc_agents,example_ncts
1,TNFAIP6,1.6712805078352384,1.1090688714450753e-24,4.283521578891095,3.971609107698291e-27,P98066,Secreted,True,locs=['Secreted']; secreted=True; cellmem=False; kw_access=True,-0.07402110997616616,False,4.56,3.0,4.7,5.0,84.6,False,0,0,False,False,False,,,,
2,CD70,2.3618215456879423,1.1467814136327077e-30,4.273539989349584,3.218671241862919e-28,P32970,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.11809390708473277,False,4.89,3.0,4.7,4.3,84.5,True,4,2,True,True,True,,CUSATUZUMAB; MDX-1411; VORSETUZUMAB; VORSETUZUMAB MAFODOTIN,MDX-1411,NCT00656734
3,TYROBP,2.2084089679729395,1.1467814136327077e-30,2.639084488199237,7.133980161531416e-28,O43914,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.6767847079773686,True,4.61,3.0,4.7,4.3,82.6,False,0,0,False,False,False,,,,
4,CA9,2.2258467469171483,1.1467814136327077e-30,6.021210562019265,3.992837590893392e-27,Q16790,"Nucleus; Nucleus, nucleolus; Cell membrane; Cell projection, microvillus membrane",True,"locs=['Cell membrane', 'Cell projection, microvillus membrane']; secreted=False; cellmem=True; kw_access=True",-0.1956630525437865,False,4.89,3.0,4.7,2.8,79.5,True,4,3,True,True,True,,ETHOXZOLAMIDE; GIRENTUXIMAB; IODINE I 124 GIRENTUXIMAB; SULTHIAME,GIRENTUXIMAB; IODINE I 124 GIRENTUXIMAB,NCT00087022;NCT00717587;NCT01762592;NCT02002312;NCT02411968
5,FCER1G,2.396871802576188,1.1467814136327077e-30,2.444300780014898,7.788919648471945e-28,P30273,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.8034488199625814,True,4.57,3.0,3.7,4.3,77.9,False,0,0,False,False,False,,,,
6,HILPDA,2.739471042956206,1.3948734542261437e-16,4.830710835194351,3.359447815993229e-27,Q9Y5L2,Lipid droplet; Secreted; Membrane,True,locs=['Secreted']; secreted=True; cellmem=False; kw_access=True,-0.10163934426229508,False,4.96,1.5,4.7,4.3,76.6,True,0,0,False,False,False,,,,
7,COL23A1,2.4604581196404345,2.7127263259488457e-28,3.945564121173724,7.938733918445488e-25,Q86Y22,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,-0.06581458145814582,False,4.89,1.5,4.7,4.3,76.2,True,0,0,False,False,False,,,,
8,SLC16A3,2.243859927605212,1.1467814136327077e-30,3.2995856344309553,1.4622312100027899e-27,O15427,Cell membrane; Basolateral cell membrane,True,"locs=['Cell membrane', 'Basolateral cell membrane']; secreted=False; cellmem=True; kw_access=True",0.13735319973852084,False,4.76,3.0,4.7,2.0,76.0,True,0,0,False,False,False,,,,
9,ENPP3,1.505828772400692,2.437189732813084e-30,3.788062768143395,2.0731495877559013e-25,O14638,Cell membrane; Apical cell membrane; Secreted,True,"locs=['Cell membrane', 'Apical cell membrane', 'Secreted']; secreted=True; cellmem=True; kw_access=True",-0.2806888623402385,False,4.28,3.0,4.7,2.7,75.1,False,1,2,True,True,True,,AGS-16C3F,AGS-16C3F,NCT01672775;NCT02639182
10,LAIR1,1.3281850779137339,4.3900193769779235e-26,2.1746462050535698,3.011241054527455e-28,Q6GTX8,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.7877050485746138,True,3.43,3.0,4.7,4.3,74.8,False,0,0,False,False,False,,,,
11,NPTX2,1.7272458016012047,2.2851752261448053e-11,4.031247709357572,3.5579874010376044e-27,P47972,Secreted,True,locs=['Secreted']; secreted=True; cellmem=False; kw_access=True,0.2704874835309618,False,4.6,1.5,4.7,4.3,74.2,True,0,0,False,False,False,,,,
12,ANGPTL4,1.6904325344763043,2.770992413258677e-30,5.242656567444215,6.565774760838925e-25,Q9BY76,"Secreted; Secreted, extracellular space, extracellular matrix",True,"locs=['Secreted', 'Secreted, extracellular space, extracellular matrix']; secreted=True; cellmem=False; kw_access=True",-0.036846020332258866,False,4.61,3.0,3.2,3.5,73.3,False,0,0,False,False,False,,,,
13,CD48,1.3212745747327228,9.022251476492329e-24,1.6331795843430112,1.3621870357172054e-23,P09326,Cell membrane; Membrane raft; Secreted,True,"locs=['Cell membrane', 'Membrane raft', 'Secreted']; secreted=True; cellmem=True; kw_access=True",0.73860821819701,True,2.77,3.0,4.7,5.0,72.7,False,0,0,False,False,False,,,,
14,ADM,1.244781602247817,0.0010725379137953624,2.533181217775164,2.1306105803143885e-25,P35318,Secreted,True,locs=['Secreted']; secreted=True; cellmem=False; kw_access=True,-0.1032967032967033,False,3.34,3.0,4.2,4.3,71.9,False,1,2,True,False,False,,ENIBARCIMAB,,
15,LPCAT1,1.6003486750701235,1.1467814136327077e-30,2.314677228946867,7.499167045049996e-26,Q8NF37,Endoplasmic reticulum membrane; Golgi apparatus membrane; Cell membrane; Lipid droplet,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.16199535649076932,False,4.1,3.0,4.2,2.7,71.7,False,0,0,False,False,False,,,,
16,FCGR3A,1.8293696540061244,1.1467814136327077e-30,3.460334599107505,3.011241054527455e-28,P08637,Cell membrane; Secreted,True,"locs=['Cell membrane', 'Secreted']; secreted=True; cellmem=True; kw_access=True",0.6689854157744065,True,4.6,3.0,4.7,1.0,71.6,False,2,3,True,True,True,,BEMARITUZUMAB; IMGATUZUMAB,BEMARITUZUMAB,NCT07470840
17,CYBB,1.6605407772726484,1.1467814136327077e-30,2.1970574577952102,7.143029656683541e-27,P04839,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.750711178234114,True,4.07,3.0,4.2,2.7,71.5,False,0,0,False,False,False,,,,
18,LOX,1.4667598357636766,2.3853538383572677e-30,2.8033500636517186,2.4807333898615507e-22,P28300,"Secreted; Secreted, extracellular space",True,"locs=['Secreted', 'Secreted, extracellular space']; secreted=True; cellmem=False; kw_access=True",0.243504722403805,False,4.06,3.0,4.2,2.7,71.4,False,0,0,False,False,False,,,,
19,VWF,1.2710282397055044,9.811554821300599e-29,3.515983389860927,9.357485930465263e-28,P04275,"Secreted; Secreted, extracellular space, extracellular matrix",True,"locs=['Secreted', 'Secreted, extracellular space, extracellular matrix']; secreted=True; cellmem=False; kw_access=True",-0.11089872190789622,False,3.64,3.0,4.2,3.5,71.3,False,4,2,True,False,False,,CAPLACIZUMAB; EGAPTIVON PEGOL; VON WILLEBRAND FACTOR HUMAN; VONICOG ALFA,,
20,SCARB1,1.8026981291083164,1.1467814136327077e-30,2.8858595044619575,2.6959979478878314e-28,Q8WTV0,"Cell membrane; Membrane, caveola",True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,-0.2040574352500958,False,4.49,3.0,2.7,3.5,70.3,True,0,0,False,False,False,,,,
21,BTN3A2,1.4221095209975878,7.935211248916724e-30,1.9910206711474019,2.613520105714771e-27,P78410,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.3898921832884097,False,3.49,3.0,4.7,2.7,69.8,False,0,0,False,False,False,,,,
22,PRF1,1.0599162620886644,4.6719496234698495e-29,2.048417664037126,1.0180277327294414e-26,P14222,Cytolytic granule; Secreted; Cell membrane; Endosome lumen,True,"locs=['Secreted', 'Cell membrane']; secreted=True; cellmem=True; kw_access=True",0.034880418366656896,False,2.32,3.0,4.7,5.0,69.7,False,0,0,False,False,False,,,,
23,VCAM1,1.364164976049071,3.9096583599003214e-30,1.6930866153176245,1.3062726279584416e-20,P19320,Cell membrane; Secreted,True,"locs=['Cell membrane', 'Secreted']; secreted=True; cellmem=True; kw_access=True",0.2345873813763722,False,2.98,3.0,3.7,5.0,69.6,False,0,0,False,False,False,,,,
24,NCKAP1L,1.2982732893675493,1.2710172662397035e-30,2.0323453051563645,6.837213481780691e-28,P55160,Cell membrane; Cytoplasm,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.7955413294862836,True,3.2,3.0,4.2,3.5,68.3,False,0,0,False,False,False,,,,
25,CD53,1.3561486306002706,1.9750234697102517e-19,2.2319302378327457,2.561461787216535e-27,P19397,Cell membrane; Cell junction; Membrane; Synapse,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.4834179925276017,True,3.52,3.0,4.2,2.7,67.8,False,0,0,False,False,False,,,,
26,CD2,1.0195172382929099,1.1569434142856563e-25,2.0589343713452575,1.1891819966844518e-23,P06729,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.7132655591371188,True,2.03,3.0,4.7,5.0,67.8,False,2,2,True,False,False,,ALEFACEPT; SIPLIZUMAB,,
27,CTHRC1,1.587408541912752,4.042874508989154e-26,1.8265089955920186,3.658710655197378e-24,Q96CG8,"Secreted, extracellular space, extracellular matrix",True,"locs=['Secreted, extracellular space, extracellular matrix']; secreted=True; cellmem=False; kw_access=True",0.35599486058201657,False,3.62,1.5,4.7,4.3,67.7,False,0,0,False,False,False,,,,
28,CD36,1.2731621630440466,7.557242820003473e-23,2.512250372056947,1.1806062331623395e-22,P16671,Cell membrane; Membrane raft; Golgi apparatus; Apical cell membrane,True,"locs=['Cell membrane', 'Membrane raft', 'Apical cell membrane']; secreted=False; cellmem=True; kw_access=True",-0.19608682911435205,False,3.43,3.0,3.7,3.5,67.6,False,0,0,False,False,False,,,,
29,SLC2A1,2.004596076128799,1.1467814136327077e-30,2.2999812482072026,1.5514537040133522e-24,P11166,Cell membrane; Melanosome; Photoreceptor inner segment,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.11621847034691073,False,4.37,3.0,3.4,2.0,67.6,True,0,0,False,False,False,,,,
30,ITGB2,1.4593389519161302,1.2785209114886742e-30,2.293736261461577,8.967761411831408e-28,P05107,Cell membrane; Membrane raft,True,"locs=['Cell membrane', 'Membrane raft']; secreted=False; cellmem=True; kw_access=True",0.5968712665960373,True,3.82,3.0,4.2,2.0,67.5,False,3,0,False,False,False,,EFALIZUMAB; LIFITEGRAST; ROVELIZUMAB,,
31,RHBDL2,1.6825632169777944,9.52197882123102e-12,0.24129196203251257,8.0167938031063e-09,Q9NX52,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.28442776735459663,False,2.28,3.0,4.7,4.3,67.1,False,0,0,False,False,False,,,,
32,POSTN,2.3486344621342212,1.8311878632403294e-26,1.0290294454290394,6.689805709190224e-07,Q15063,"Golgi apparatus; Secreted; Secreted, extracellular space, extracellular matrix",True,"locs=['Secreted', 'Secreted, extracellular space, extracellular matrix']; secreted=True; cellmem=False; kw_access=True",0.29821147252339913,False,3.01,3.0,4.2,3.5,67.1,True,0,0,False,False,False,,,,
33,FLT1,1.4386262378746737,2.5277016898421558e-15,1.8876738739065124,6.530404697676508e-21,P17948,Cell membrane; Endosome; Secreted; Secreted; Secreted; Cytoplasm; Cytoplasm; Cytoplasm,True,"locs=['Cell membrane', 'Secreted', 'Secreted', 'Secreted']; secreted=True; cellmem=True; kw_access=True",-0.0838968145397694,False,3.47,3.0,3.2,3.5,65.7,False,48,3,True,True,True,,4SC-203; AEE-788; AGN-211745; AXITINIB; BMS-690514; BRIVANIB; BRIVANIB ALANINATE; CEDIRANIB; CEP-11981; CEP-5214; DOVITINIB; FAMITINIB; FORETINIB; FRUQUINTINIB; GLESATINIB; IBCASERTIB; ICRUCUMAB; ILORASERTIB; KRN-633; LENVATINIB; LENVATINIB MESYLATE; LINIFANIB; LUCITANIB; MOTESANIB; NINTEDANIB; NINT,AXITINIB; BRIVANIB; BRIVANIB ALANINATE; CEDIRANIB; DOVITINIB; FAMITINIB; FORETINIB; FRUQUINTINIB; ICRUCUMAB; LENVATINIB; LENVATINIB MESYLATE; LINIFANIB; NINTEDANIB; NINTEDANIB ESYLATE; OSI-930; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; SEMAXANIB; SORAFENIB; SORAFENIB TOSYLATE; SUNITINIB; SUNI,NCT00006384;NCT00009919;NCT00054886;NCT00098618;NCT00101114
34,ANGPT2,1.541609291246555,1.2710172662397035e-30,2.2545580313674103,3.6296006357909113e-26,O15123,Secreted,True,locs=['Secreted']; secreted=True; cellmem=False; kw_access=True,0.012104681829452471,False,3.96,3.0,4.2,1.2,65.7,False,8,3,True,True,True,,AMG-780; CVX-060; FARICIMAB; MEDI-3617; NESVACUMAB; TREBANANIB; VANUCIZUMAB; ZANSECIMAB,CVX-060; TREBANANIB,NCT00467025;NCT00853372;NCT00953446;NCT00982657;NCT01441414
