rank,gene,prot_log2fc,rna_log2fc,assoc_expr,immune_rho,tractability,safety,selectivity,composite_0_100,validation_heldout,dev_tier
1,CD70,2.3618215456879423,4.273539989349584,4.89,0.11809390708473277,3.0,4.7,4.3,84.5,ccrcc-direct-agent,T1 fast-follow
2,CA9,2.2258467469171483,6.021210562019265,4.89,-0.1956630525437865,3.0,4.7,2.8,79.5,ccrcc-direct-agent,T1 fast-follow
3,HILPDA,2.739471042956206,4.830710835194351,4.96,-0.10163934426229508,1.5,4.7,4.3,76.6,none,T2 discovery
4,COL23A1,2.4604581196404345,3.945564121173724,4.89,-0.06581458145814582,1.5,4.7,4.3,76.2,none,T2 discovery
5,SLC16A3,2.243859927605212,3.2995856344309553,4.76,0.13735319973852084,3.0,4.7,2.0,76.0,none,T2 discovery
6,NPTX2,1.7272458016012047,4.031247709357572,4.6,0.2704874835309618,1.5,4.7,4.3,74.2,none,T2 discovery
7,SCARB1,1.8026981291083164,2.8858595044619575,4.49,-0.2040574352500958,3.0,2.7,3.5,70.3,none,T2 discovery
8,SLC2A1,2.004596076128799,2.2999812482072026,4.37,0.11621847034691073,3.0,3.4,2.0,67.6,none,T3 watch
9,POSTN,2.3486344621342212,1.0290294454290394,3.01,0.29821147252339913,3.0,4.2,3.5,67.1,none,T3 watch
10,HAVCR1,1.795411479577107,1.8579896970169978,3.86,0.08808222283799784,1.5,3.2,5.0,65.0,none,T3 watch
11,SLC2A3,1.7335228745480538,1.6933197724881732,3.62,0.04009196853233551,3.0,4.2,1.0,62.8,none,T3 watch
12,HAPLN1,2.0979536931835825,1.4423705214533813,3.48,0.00883168406104186,1.5,4.2,3.5,61.9,none,T3 watch
