gene,uniprot,prot_log2fc,rna_log2fc,immune_rho,immune_infiltration_flag,dropped_by,retained,locations
HILPDA,Q9Y5L2,2.739471042956206,4.830710835194351,-0.10163934426229508,False,,True,Lipid droplet; Secreted; Membrane
COL23A1,Q86Y22,2.4604581196404345,3.945564121173724,-0.06581458145814582,False,,True,Cell membrane
FCER1G,P30273,2.396871802576188,2.444300780014898,0.8034488199625814,True,immune_filter,False,Cell membrane
CD70,P32970,2.3618215456879423,4.273539989349584,0.11809390708473277,False,,True,Cell membrane
POSTN,Q15063,2.3486344621342212,1.0290294454290394,0.29821147252339913,False,,True,"Golgi apparatus; Secreted; Secreted, extracellular space, extracellular matrix"
SLC16A3,O15427,2.243859927605212,3.2995856344309553,0.13735319973852084,False,,True,Cell membrane; Basolateral cell membrane
CA9,Q16790,2.2258467469171483,6.021210562019265,-0.1956630525437865,False,,True,"Nucleus; Nucleus, nucleolus; Cell membrane; Cell projection, microvillus membrane"
TYROBP,O43914,2.2084089679729395,2.639084488199237,0.6767847079773686,True,immune_filter,False,Cell membrane
HAPLN1,P10915,2.0979536931835825,1.4423705214533813,0.00883168406104186,False,,True,"Secreted, extracellular space, extracellular matrix"
SLC2A1,P11166,2.004596076128799,2.2999812482072026,0.11621847034691073,False,,True,Cell membrane; Melanosome; Photoreceptor inner segment
ITGAX,P20702,1.8404775456588236,2.0867956862293005,0.5984401415594076,True,immune_filter,False,Cell membrane
FCGR3A,P08637,1.8293696540061244,3.460334599107505,0.6689854157744065,True,immune_filter,False,Cell membrane; Secreted
SCARB1,Q8WTV0,1.8026981291083164,2.8858595044619575,-0.2040574352500958,False,,True,"Cell membrane; Membrane, caveola"
HAVCR1,Q96D42,1.795411479577107,1.8579896970169978,0.08808222283799784,False,,True,"Cell membrane; Cell projection, phagocytic cup; Cytoplasmic vesicle, phagosome"
SLC2A3,P11169,1.7335228745480538,1.6933197724881732,0.04009196853233551,False,,True,Cell membrane; Perikaryon; Cell projection
NPTX2,P47972,1.7272458016012047,4.031247709357572,0.2704874835309618,False,,True,Secreted
LOXL2,Q9Y4K0,1.705756345283926,2.381459519775941,0.10969050785564546,False,fc_rank_cutoff,False,"Secreted, extracellular space, extracellular matrix, basement membrane; Nucleus; Chromosome; Endoplasmic reticulum"
ANGPTL4,Q9BY76,1.6904325344763043,5.242656567444215,-0.036846020332258866,False,fc_rank_cutoff,False,"Secreted; Secreted, extracellular space, extracellular matrix"
RHBDL2,Q9NX52,1.6825632169777944,0.24129196203251257,0.28442776735459663,False,fc_rank_cutoff,False,Cell membrane
P2RX7,Q99572,1.673670402568002,2.017586527287987,0.2900038744672607,False,fc_rank_cutoff,False,Cell membrane
TNFAIP6,P98066,1.6712805078352384,4.283521578891095,-0.07402110997616616,False,fc_rank_cutoff,False,Secreted
CYBB,P04839,1.6605407772726484,2.1970574577952102,0.750711178234114,True,immune_filter,False,Cell membrane
ESM1,Q9NQ30,1.6559442753758309,3.2429304313866814,-0.05319743739079791,False,fc_rank_cutoff,False,Secreted
ADAMTS7,Q9UKP4,1.6170601164105065,0.7023760857075914,-0.1716361931551805,False,fc_rank_cutoff,False,"Secreted, extracellular space, extracellular matrix"
LPCAT1,Q8NF37,1.6003486750701235,2.314677228946867,0.16199535649076932,False,fc_rank_cutoff,False,Endoplasmic reticulum membrane; Golgi apparatus membrane; Cell membrane; Lipid droplet
